hgnc_id	symbol	name	location	location_sortable
HGNC:5	A1BG	alpha-1-B glycoprotein	19q13.43	19q13.43
HGNC:24086	A1CF	APOBEC1 complementation factor	10q11.23	10q11.23
HGNC:7	A2M	alpha-2-macroglobulin	12p13.31	12p13.31
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	12p13.31	12p13.31
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	1p35.1	01p35.1
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	22q13.2	22q13.2
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	3q22.3	03q22.3
HGNC:13666	AAAS	aladin WD repeat nucleoporin	12q13.13	12q13.13
HGNC:21298	AACS	acetoacetyl-CoA synthetase	12q24.31	12q24.31
HGNC:17	AADAC	arylacetamide deacetylase	3q25.1	03q25.1
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	3q25.1	03q25.1
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	1p36.21	01p36.21
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	1p36.21	01p36.21
HGNC:17929	AADAT	aminoadipate aminotransferase	4q33	04q33
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	15q23	15q23
HGNC:19679	AAK1	AP2 associated kinase 1	2p13.3	02p13.3
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	11q14.1	11q14.1
HGNC:18	AAMP	angio associated migratory cell protein	2q35	02q35
HGNC:19	AANAT	aralkylamine N-acetyltransferase	17q25.1	17q25.1
HGNC:15886	AAR2	AAR2 splicing factor	20q11.23	20q11.23
HGNC:33842	AARD	alanine and arginine rich domain containing protein	8q24.11	08q24.11
HGNC:20	AARS1	alanyl-tRNA synthetase 1	16q22.1	16q22.1
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	6p21.1	06p21.1
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	17q21.31	17q21.31
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	4q12	04q12
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	11q22.3	11q22.3
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	7q31.32	07q31.32
HGNC:19235	AATF	apoptosis antagonizing transcription factor	17q12	17q12
HGNC:21	AATK	apoptosis associated tyrosine kinase	17q25.3	17q25.3
HGNC:23	ABAT	4-aminobutyrate aminotransferase	16p13.2	16p13.2
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	9q31.1	09q31.1
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	9q34.3	09q34.3
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	16p13.3	16p13.3
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	1p22.1	01p22.1
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	17q24.3	17q24.3
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	17q24.2-q24.3	17q24.2-q24.3
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	19p13.3	19p13.3
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	17q24.2	17q24.2
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	17q24.2	17q24.2
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	17q24.3	17q24.3
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	2q35	02q35
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	7p12.3	07p12.3
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	7q21.12	07q21.12
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	7q21.12	07q21.12
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	7p21.1	07p21.1
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	2q35	02q35
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	Xq13.3	Xq13.3
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	7q36.1	07q36.1
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	12q24.31	12q24.31
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	1q42.13	01q42.13
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	2q31.1	02q31.1
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	16p13.11	16p13.11
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	10q24.2	10q24.2
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	17q21.33	17q21.33
